likes	coms	favs	size
46	47	3	2629
178	108	33	7382
141	236	19	5874
69	70	5	1293
109	184	4	2296
68	74	0	896
63	61	1	482
95	79	4	821
49	78	4	760
69	96	3	1416
101	73	10	2466
60	274	4	2455
35	13	4	1426
202	46	37	919
121	147	6	1822
58	59	1	952
72	63	6	5700
207	290	58	16372
50	150	4	2545
35	65	0	1774
16	133	3	758
42	76	1	1176
40	25	2	437
57	91	2	1253
60	39	2	1436
23	22	2	1482
31	19	2	1591
57	13	1	1329
86	84	2	1490
215	43	17	714
144	97	7	897
18	20	0	1360
73	70	3	1634
37	41	3	1372
60	38	3	563
65	80	4	3536
250	596	14	2059
32	88	1	3178
196	243	9	260
155	384	8	1946
39	40	3	2326
192	260	3	2276
165	217	9	3212
70	51	11	1531
10	10	2	626
66	30	15	2676
142	174	10	332
78	172	4	3125
74	107	1	2322
47	151	1	1019
74	270	1	2528
66	18	1	1107
93	123	10	937
77	75	15	3028
74	114	8	608
73	116	1	3378
160	640	13	4483
29	24	1	1152
24	99	0	1626
276	480	26	7693
206	642	9	5736
177	160	11	865
166	91	36	1121
87	92	10	3567
88	97	3	1193
36	29	0	1571
81	32	3	2376
44	7	1	1702
18	8	0	1680
68	56	1	14165
196	275	15	8000
93	86	5	1444
119	60	21	4162
125	39	21	5233
101	122	9	1083
68	48	1	1986
84	148	11	6541
76	110	6	1417
102	61	15	6440
48	31	1	620
325	162	20	2674
175	184	7	2127
87	176	43	3835
56	76	1	1947
52	49	1	2153
42	65	1	1536
138	211	1	1531
156	55	19	1470
152	109	1	2313
48	33	1	2251
114	90	6	1896
69	50	2	1751
119	193	34	7863
97	28	1	492
74	55	6	569
113	32	1	2965
331	156	89	3882
135	100	5	1839
135	84	13	3377
76	119	6	1682
69	103	1	2603
192	84	10	2062
278	717	19	2060
268	295	24	3871
80	18	1	1626
106	144	12	3830
33	63	7	6911
31	50	1	2685
38	18	0	1536
189	248	27	3794
70	35	1	315
101	37	16	3371
22	26	8	1322
76	63	8	1629
115	203	1	2990
205	211	37	11154
129	158	14	2993
100	68	17	2312
68	41	5	1394
106	54	3	1625
184	0	1	1786
133	143	16	6607
200	144	43	7072
77	88	1	718
80	79	5	1448
87	62	12	1618
56	90	13	7286
66	21	0	1883
35	68	3	1722
76	23	15	15092
80	130	1	4680
100	27	10	540
92	50	3	2873
59	43	1	2350
51	68	0	1616
127	184	8	2926
59	47	1	1371
1272	1008	175	6981
107	62	61	2808
83	264	6	4237
41	50	1	3976
214	401	19	3335
118	207	6	2682
193	359	9	3765
141	57	19	4565
26	18	0	1541
179	140	34	9759
438	107	35	583
119	21	14	2994
192	477	14	1929
96	18	1	1542
83	288	5	2888
77	49	2	3073
76	71	6	2272
250	132	26	10412
98	115	6	1840
118	238	8	2734
116	131	12	8685
59	18	12	1530
186	455	17	3410
88	105	15	1871
41	50	1	2632
